Date (DD.MM.YYYY);Index Code;Endeksler;Index Names In English;Number of Days;Value
07.03.2016;XU100;BIST 100;BIST 100;126;21.94
07.03.2016;XU100;BIST 100;BIST 100;252;22.39
08.03.2016;XU100;BIST 100;BIST 100;21;16.60
08.03.2016;XU100;BIST 100;BIST 100;42;19.16
08.03.2016;XU100;BIST 100;BIST 100;63;21.70
08.03.2016;XU100;BIST 100;BIST 100;126;21.94
08.03.2016;XU100;BIST 100;BIST 100;252;22.14
09.03.2016;XU100;BIST 100;BIST 100;21;16.36
09.03.2016;XU100;BIST 100;BIST 100;42;19.33
09.03.2016;XU100;BIST 100;BIST 100;63;20.93
09.03.2016;XU100;BIST 100;BIST 100;126;22.01
09.03.2016;XU100;BIST 100;BIST 100;252;22.18
10.03.2016;XU100;BIST 100;BIST 100;21;16.35
10.03.2016;XU100;BIST 100;BIST 100;42;19.25
10.03.2016;XU100;BIST 100;BIST 100;63;20.01
10.03.2016;XU100;BIST 100;BIST 100;126;22.01
10.03.2016;XU100;BIST 100;BIST 100;252;22.18
11.03.2016;XU100;BIST 100;BIST 100;21;15.57
11.03.2016;XU100;BIST 100;BIST 100;42;19.14
11.03.2016;XU100;BIST 100;BIST 100;63;19.77
11.03.2016;XU100;BIST 100;BIST 100;126;21.99
11.03.2016;XU100;BIST 100;BIST 100;252;22.08
14.03.2016;XU100;BIST 100;BIST 100;21;15.49
14.03.2016;XU100;BIST 100;BIST 100;42;19.05
14.03.2016;XU100;BIST 100;BIST 100;63;18.27
14.03.2016;XU100;BIST 100;BIST 100;126;22.02
14.03.2016;XU100;BIST 100;BIST 100;252;22.01
15.03.2016;XU100;BIST 100;BIST 100;21;16.76
15.03.2016;XU100;BIST 100;BIST 100;42;19.11
15.03.2016;XU100;BIST 100;BIST 100;63;18.45
15.03.2016;XU100;BIST 100;BIST 100;126;21.83
15.03.2016;XU100;BIST 100;BIST 100;252;21.93
16.03.2016;XU100;BIST 100;BIST 100;21;16.64
16.03.2016;XU100;BIST 100;BIST 100;42;19.11
16.03.2016;XU100;BIST 100;BIST 100;63;18.34
16.03.2016;XU100;BIST 100;BIST 100;126;21.76
16.03.2016;XU100;BIST 100;BIST 100;252;21.93
17.03.2016;XU100;BIST 100;BIST 100;21;16.51
17.03.2016;XU100;BIST 100;BIST 100;42;19.85
17.03.2016;XU100;BIST 100;BIST 100;63;18.56
17.03.2016;XU100;BIST 100;BIST 100;126;21.98
17.03.2016;XU100;BIST 100;BIST 100;252;21.94
18.03.2016;XU100;BIST 100;BIST 100;21;17.13
18.03.2016;XU100;BIST 100;BIST 100;42;19.28
18.03.2016;XU100;BIST 100;BIST 100;63;18.77
18.03.2016;XU100;BIST 100;BIST 100;126;22.13
18.03.2016;XU100;BIST 100;BIST 100;252;22.01
21.03.2016;XU100;BIST 100;BIST 100;21;16.62
21.03.2016;XU100;BIST 100;BIST 100;42;18.69
21.03.2016;XU100;BIST 100;BIST 100;63;18.75
21.03.2016;XU100;BIST 100;BIST 100;126;22.10
21.03.2016;XU100;BIST 100;BIST 100;252;21.97
22.03.2016;XU100;BIST 100;BIST 100;21;17.41
22.03.2016;XU100;BIST 100;BIST 100;42;18.96
22.03.2016;XU100;BIST 100;BIST 100;63;19.12
22.03.2016;XU100;BIST 100;BIST 100;126;22.23
22.03.2016;XU100;BIST 100;BIST 100;252;21.96
23.03.2016;XU100;BIST 100;BIST 100;21;18.76
23.03.2016;XU100;BIST 100;BIST 100;42;19.61
23.03.2016;XU100;BIST 100;BIST 100;63;19.47
23.03.2016;XU100;BIST 100;BIST 100;126;22.35
23.03.2016;XU100;BIST 100;BIST 100;252;22.01
24.03.2016;XU100;BIST 100;BIST 100;21;17.24
24.03.2016;XU100;BIST 100;BIST 100;42;19.40
24.03.2016;XU100;BIST 100;BIST 100;63;19.59
24.03.2016;XU100;BIST 100;BIST 100;126;22.26
24.03.2016;XU100;BIST 100;BIST 100;252;22.00
25.03.2016;XU100;BIST 100;BIST 100;21;16.87
25.03.2016;XU100;BIST 100;BIST 100;42;19.41
25.03.2016;XU100;BIST 100;BIST 100;63;19.59
25.03.2016;XU100;BIST 100;BIST 100;126;22.20
25.03.2016;XU100;BIST 100;BIST 100;252;21.99
28.03.2016;XU100;BIST 100;BIST 100;21;16.72
28.03.2016;XU100;BIST 100;BIST 100;42;19.42
28.03.2016;XU100;BIST 100;BIST 100;63;19.56
28.03.2016;XU100;BIST 100;BIST 100;126;22.20
28.03.2016;XU100;BIST 100;BIST 100;252;21.93
29.03.2016;XU100;BIST 100;BIST 100;21;16.50
29.03.2016;XU100;BIST 100;BIST 100;42;19.21
29.03.2016;XU100;BIST 100;BIST 100;63;19.43
29.03.2016;XU100;BIST 100;BIST 100;126;22.20
29.03.2016;XU100;BIST 100;BIST 100;252;21.87
30.03.2016;XU100;BIST 100;BIST 100;21;16.88
30.03.2016;XU100;BIST 100;BIST 100;42;19.40
30.03.2016;XU100;BIST 100;BIST 100;63;19.07
30.03.2016;XU100;BIST 100;BIST 100;126;22.28
30.03.2016;XU100;BIST 100;BIST 100;252;21.92
31.03.2016;XU100;BIST 100;BIST 100;21;16.71
31.03.2016;XU100;BIST 100;BIST 100;42;19.01
31.03.2016;XU100;BIST 100;BIST 100;63;18.68
31.03.2016;XU100;BIST 100;BIST 100;126;21.81
31.03.2016;XU100;BIST 100;BIST 100;252;21.91
01.04.2016;XU100;BIST 100;BIST 100;21;17.42
01.04.2016;XU100;BIST 100;BIST 100;42;19.23
01.04.2016;XU100;BIST 100;BIST 100;63;18.87
01.04.2016;XU100;BIST 100;BIST 100;126;21.86
01.04.2016;XU100;BIST 100;BIST 100;252;21.88
04.04.2016;XU100;BIST 100;BIST 100;21;18.14
04.04.2016;XU100;BIST 100;BIST 100;42;19.29
04.04.2016;XU100;BIST 100;BIST 100;63;19.11
04.04.2016;XU100;BIST 100;BIST 100;126;21.86
04.04.2016;XU100;BIST 100;BIST 100;252;21.96
05.04.2016;XU100;BIST 100;BIST 100;21;18.82
05.04.2016;XU100;BIST 100;BIST 100;42;19.51
05.04.2016;XU100;BIST 100;BIST 100;63;19.29
05.04.2016;XU100;BIST 100;BIST 100;126;21.92
05.04.2016;XU100;BIST 100;BIST 100;252;21.97
06.04.2016;XU100;BIST 100;BIST 100;21;20.11
06.04.2016;XU100;BIST 100;BIST 100;42;18.46
06.04.2016;XU100;BIST 100;BIST 100;63;19.48
06.04.2016;XU100;BIST 100;BIST 100;126;22.04
06.04.2016;XU100;BIST 100;BIST 100;252;22.04
07.04.2016;XU100;BIST 100;BIST 100;21;19.81
07.04.2016;XU100;BIST 100;BIST 100;42;18.35
07.04.2016;XU100;BIST 100;BIST 100;63;19.50
07.04.2016;XU100;BIST 100;BIST 100;126;22.05
07.04.2016;XU100;BIST 100;BIST 100;252;22.02
08.04.2016;XU100;BIST 100;BIST 100;21;20.44
08.04.2016;XU100;BIST 100;BIST 100;42;18.62
08.04.2016;XU100;BIST 100;BIST 100;63;19.65
08.04.2016;XU100;BIST 100;BIST 100;126;22.10
08.04.2016;XU100;BIST 100;BIST 100;252;22.06
11.04.2016;XU100;BIST 100;BIST 100;21;21.12
11.04.2016;XU100;BIST 100;BIST 100;42;18.67
11.04.2016;XU100;BIST 100;BIST 100;63;19.83
11.04.2016;XU100;BIST 100;BIST 100;126;22.17
11.04.2016;XU100;BIST 100;BIST 100;252;22.12
12.04.2016;XU100;BIST 100;BIST 100;21;21.07
12.04.2016;XU100;BIST 100;BIST 100;42;18.73
